i	2^(-i)	arctan(2^(-i))
0	1	0.78539816339
1	0.5	0.46364760900
2	0.25	0.24497866313
3	0.125	0.12435499455
4	0.0625	0.06241880999
5	0.03125	0.03123983343
6	0.015625	0.01562372862
7	0.0078125	0.00781234106
8	0.0039062	0.00390623013
9	0.0019531	0.00195312252
10	0.0009766	0.00097656219
11	0.0004883	0.00048828121
12	0.0002441	0.00024414062
13	0.0001221	0.00012207031
14	0.0000610	0.00006103516
15	0.0000305	0.00003051758
16	0.0000153	0.00001525879
17	0.0000076	0.00000762939
18	0.0000038	0.00000381470
19	0.0000019	0.00000190735
20	0.0000010	0.00000095367
21	0.0000005	0.00000095367
22	0.0000002	0.00000047684
23	0.0000001	0.00000023842
24	0.0000001	0.00000011921
25	0.0000000	0.00000011921
26	0.0000000	0.00000005960
27	0.0000000	0.00000005960
28	0.0000000	0.00000002980
29	0.0000000	0.00000001490
30	0.0000000	0.00000001490
31	0.0000000	0.00000000745
